field_id	title	notes
3	Verbal interview duration	Time taken for interview
4	Biometrics duration	Time taken for participant to do the tests in the biometric station of the Assessment Centre visit.
5	Sample collection duration	Time taken for participant to complete the blood phlebotomy station of the Assessment Centre visit. This is longer than the time during which they were actively giving blood.
6	Conclusion duration	This is the time taken for the participant to complete the final conclusion stage of the Assessment Centre visit.
23	Spirometry method	Spirometry method
33	Date of birth	Date of birth of participant.<p>Acquired from central registry, updated by participant. <p> This data-field will only be made available to researchers in exceptional circumstances. Wherever possible, reasearchers should use Month of Birth (~F52~) and Year of Birth (~F34~) instead.
35	Was blood sampling attempted	Indicates whether or not taking blood samples was attempted
42	Spirometer device ID	Spirometer gadget ID
55	Month of attending assessment centre	Calendar month that participant attended a UK Biobank assessment centre.<p>Automatically acquired at Reception stage.
62	Willing to attempt cognitive tests	ACE touchscreen question "Now we would like to check your memory and reaction times by getting you to play some short games"
68	Number of blood samples taken	Blood, count of sample barcodes recorded<p>Each barcode corresponds to a sample collected in the assessment centre. However the actual volume collected was not always the full amount preferred.
74	Fasting time	Fasting time is the interval between consumption of food or drink and blood sample(s) being taken. This was recorded so that it could be allowed for when analysing the blood composition at a later date.
84	Cancer year/age first occurred	For each cancer entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.
87	Non-cancer illness year/age first occurred	For each disease entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.
92	Operation year/age first occurred	For each operation entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.
111	Aide-memoire completed	Participants were asked to complete an aide-memoire at home (prior to the visiting and assessment centre) to help them complete the more complex/detailed interview questions. This field records whether or not the participant brought a completed aide-memoire to the interview.
120	Birth weight known	Birth weight known <br><br>This question was dropped from the touchscreen protocol on 24/10/2016.
129	Place of birth in UK - north co-ordinate	Place born - north co-ordinate <br><br>This question was dropped from the touchscreen protocol on 24/10/2016.
130	Place of birth in UK - east co-ordinate	Place born - east co-ordinate <br><br>This question was dropped from the touchscreen protocol on 24/10/2016.
132	Job code at visit - entered	This information is regarded as restricted and will be supplied to researchers only when absolutely necessary. <br> <br>Please use data field 20277 which is the unrestricted version of this data field. <br> <br>See also the Related Data-Fields tab below for other unrestricted alternatives.
134	Number of self-reported cancers	Number of cancers entered
135	Number of self-reported non-cancer illnesses	Number of non-cancer illnesses entered
136	Number of operations, self-reported	Number of operations entered
137	Number of treatments/medications taken	Number of treatments (medications) entered
189	Townsend deprivation index at recruitment	Townsend deprivation index calculated immediately prior to participant joining UK Biobank. Based on the preceding national census output areas. Each participant is assigned a score corresponding to the output area in which their postcode is located.
190	Reason lost to follow-up	Indicates the reason that a person is believed to be lost to follow-up. <p> If there are multiple reasons that a person is lost to follow-up then only the earliest of them is listed. <br> <br> Please note this data-field has not been updated since May 2017. We are hoping to update this data-field to include more recent information in the next year.
200	Date of consenting to join UK Biobank	Date that participant consented at UK Biobank assessment centre.<p>Automatically acquired at participant consent.
393	Program (tactus) version ID (compiler timestamp)	This field identifies the version of the touchscreen system in use at the assessment centre when a participant visit took place. The timestamp is not present in data from the initial pilot clinic.
396	Number of columns displayed in round	
397	Number of rows displayed in round	
398	Number of correct matches in round	This is the number of correct matches in the round. It should always be 3 for a 2x3 game and 6 for a 3x4 game, unless the participant abandoned before finishing.
399	Number of incorrect matches in round	A value of 0 indicates the participant made no mistakes.
400	Time to complete round	
401	Index for card A in round	
402	Index for card B in round	
403	Number of times snap-button pressed	This indicates the number of times the snap-button was pressed (i.e. the user indicated the cards matched) in each round.
