superpop,strgt_sum,Expr
EUR,26.0,4.3644
EUR,27.0,3.59073
EUR,26.0,4.92406
EUR,24.0,7.555439999999999
EUR,25.0,6.85686
EUR,24.0,6.16156
EUR,24.0,7.92015
EUR,25.0,3.2787300000000004
EUR,26.0,4.41846
EUR,25.0,4.18547
EUR,24.0,8.816360000000001
EUR,27.0,5.6865
EUR,26.0,5.17499
EUR,26.0,4.0088
EUR,26.0,4.20498
EUR,27.0,4.99697
EUR,24.0,6.44034
EUR,27.0,6.47889
EUR,25.0,6.178719999999999
EUR,24.0,4.20886
EUR,25.0,6.09776
EUR,24.0,3.09659
EUR,25.0,6.00445
EUR,27.0,4.84396
EUR,25.0,7.18814
EUR,28.0,8.20317
EUR,33.0,8.50563
EUR,27.0,2.3233
EUR,27.0,4.82481
EUR,24.0,5.30336
EUR,24.0,5.16266
EUR,24.0,5.57759
EUR,24.0,4.2095199999999995
EUR,27.0,4.35604
EUR,27.0,6.1915
EUR,26.0,5.41023
EUR,25.0,7.4210199999999995
EUR,24.0,10.326089999999999
EUR,27.0,5.54671
EUR,24.0,7.22842
EUR,26.0,5.4613
EUR,24.0,5.75465
EUR,27.0,6.63347
EUR,25.0,3.44176
EUR,25.0,4.10427
EUR,27.0,5.61752
EUR,24.0,6.54344
EUR,24.0,5.2755
EUR,24.0,3.6336800000000005
EUR,24.0,10.47645
EUR,26.0,3.91623
EUR,24.0,7.872269999999999
EUR,28.0,4.47009
EUR,27.0,4.42784
EUR,26.0,5.25638
EUR,24.0,5.19972
EUR,24.0,5.817080000000001
EUR,25.0,4.9539800000000005
EUR,26.0,6.01278
EUR,24.0,5.5930800000000005
EUR,27.0,4.97204
EUR,30.0,4.16049
EUR,24.0,6.04627
EUR,27.0,4.24899
EUR,24.0,6.559769999999999
EUR,24.0,5.3318900000000005
EUR,30.0,8.35041
EUR,24.0,7.905360000000001
EUR,27.0,8.56961
EUR,24.0,8.16923
EUR,30.0,6.50854
EUR,24.0,8.73054
EUR,24.0,7.14693
EUR,24.0,4.372240000000001
EUR,24.0,4.71129
EUR,27.0,3.97364
EUR,24.0,5.61373
EUR,24.0,5.64087
EUR,25.0,6.3354
EUR,24.0,11.00085
EUR,28.0,6.74327
EUR,34.0,6.429869999999999
EUR,24.0,6.05351
EUR,24.0,5.48168
EUR,27.0,7.5936699999999995
EUR,24.0,5.93573
EUR,24.0,8.43379
EUR,29.0,7.524719999999999
EUR,24.0,4.21099
EUR,27.0,5.5728800000000005
EUR,24.0,6.52493
EUR,25.0,4.28357
EUR,28.0,3.77564
EUR,24.0,3.5754
EUR,24.0,5.67255
EUR,24.0,5.94161
EUR,25.0,5.84769
EUR,24.0,3.409
EUR,24.0,7.57987
EUR,24.0,8.892719999999999
EUR,28.0,7.073930000000001
EUR,24.0,7.02533
EUR,24.0,10.39299
EUR,26.0,6.3121599999999995
EUR,25.0,7.21823
EUR,26.0,4.63238
EUR,24.0,7.788710000000001
EUR,25.0,2.96038
EUR,27.0,5.51386
EUR,26.0,6.13363
EUR,24.0,3.5737900000000002
EUR,25.0,7.9073
EUR,24.0,6.9943100000000005
EUR,24.0,4.2297
EUR,24.0,4.16745
EUR,26.0,6.6038
EUR,29.0,6.01117
EUR,24.0,7.733
EUR,24.0,3.4407300000000003
EUR,25.0,5.63529
EUR,24.0,6.42632
EUR,27.0,4.27945
EUR,24.0,5.46413
EUR,25.0,8.01067
EUR,24.0,7.832089999999999
EUR,25.0,7.02605
EUR,24.0,7.40199
EUR,25.0,7.6312
EUR,24.0,4.12825
EUR,24.0,9.22184
EUR,32.0,4.79881
EUR,27.0,5.46382
EUR,25.0,8.36773
EUR,31.0,8.6163
EUR,24.0,8.541160000000001
EUR,25.0,5.33137
EUR,24.0,7.84278
EUR,24.0,7.4945699999999995
EUR,24.0,6.48298
EUR,24.0,6.54334
EUR,25.0,4.1239099999999995
EUR,27.0,8.76653
EUR,24.0,4.38028
EUR,24.0,7.21225
EUR,24.0,4.60121
EUR,24.0,9.7742
EUR,24.0,9.18058
EUR,25.0,4.72145
EUR,24.0,5.81079
EUR,24.0,6.92862
EUR,25.0,3.7931
EUR,26.0,8.58567
EUR,26.0,10.16974
EUR,24.0,5.258290000000001
EUR,24.0,10.41742
EUR,24.0,11.208689999999999
EUR,24.0,4.83056
EUR,24.0,4.78998
EUR,25.0,3.3497800000000004
EUR,26.0,6.932980000000001
EUR,25.0,4.6399300000000006
EUR,24.0,6.23465
EUR,25.0,7.300660000000001
EUR,26.0,8.48139
EUR,28.0,6.658980000000001
EUR,24.0,7.28866
EUR,24.0,8.474169999999999
EUR,25.0,6.76558
EUR,24.0,3.3052699999999997
EUR,24.0,7.88126
EUR,24.0,10.06208
EUR,24.0,6.70861
EUR,24.0,8.85714
EUR,24.0,6.42824
EUR,24.0,7.91063
EUR,30.0,7.569939999999999
EUR,26.0,8.88063
EUR,24.0,4.8304800000000006
EUR,26.0,4.87924
EUR,25.0,8.4879
EUR,24.0,8.59366
EUR,24.0,8.23752
EUR,27.0,6.29425
EUR,27.0,7.819780000000001
EUR,24.0,9.16799
EUR,25.0,7.3654399999999995
EUR,33.0,6.7756
EUR,25.0,8.71824
EUR,25.0,3.5284199999999997
EUR,24.0,5.02604
EUR,25.0,5.12213
EUR,24.0,5.74315
EUR,26.0,6.18043
EUR,20.0,6.56553
EUR,26.0,3.60077
EUR,24.0,4.72585
EUR,24.0,6.45756
EUR,24.0,5.03407
EUR,34.0,8.34562
EUR,24.0,5.82634
EUR,24.0,6.1150400000000005
EUR,24.0,9.04689
EUR,26.0,4.62585
EUR,26.0,4.6449300000000004
EUR,24.0,4.985040000000001
EUR,31.0,4.04523
EUR,20.0,8.23896
EUR,32.0,7.012580000000001
EUR,24.0,7.76842
EUR,24.0,4.10142
EUR,27.0,7.69647
EUR,30.0,4.8817900000000005
EUR,25.0,6.849060000000001
EUR,25.0,7.40314
EUR,24.0,5.98725
EUR,24.0,6.71248
EUR,27.0,4.49523
EUR,24.0,5.3638
EUR,24.0,8.7765
EUR,25.0,7.369039999999999
EUR,30.0,8.48982
EUR,24.0,6.02209
EUR,27.0,6.19168
EUR,24.0,7.927789999999999
EUR,24.0,8.61345
EUR,25.0,8.5515
EUR,24.0,4.93275
EUR,27.0,5.27441
EUR,27.0,5.6907
EUR,26.0,9.79921
EUR,24.0,6.54738
EUR,24.0,7.554460000000001
EUR,25.0,5.23497
EUR,24.0,7.7796899999999996
EUR,24.0,7.20105
EUR,25.0,4.98956
EUR,24.0,7.11866
EUR,22.0,6.7644899999999994
EUR,27.0,4.76061
EUR,24.0,10.26446
EUR,24.0,7.77646
EUR,24.0,8.556000000000001
EUR,24.0,9.06338
EUR,24.0,12.2976
EUR,30.0,6.9661800000000005
EUR,27.0,6.4428
EUR,31.0,8.10184
EUR,24.0,10.6343
EUR,26.0,9.57668
EUR,27.0,4.6893
EUR,25.0,10.74368
EUR,24.0,5.22978
EUR,24.0,9.25767
EUR,30.0,4.79738
EUR,26.0,6.42711
EUR,28.0,6.83939
EUR,25.0,7.0481300000000005
EUR,24.0,8.0753
EUR,25.0,7.850560000000001
EUR,25.0,8.57745
EUR,25.0,5.99651
EUR,24.0,5.3266800000000005
EUR,30.0,4.30785
EUR,26.0,11.90508
EUR,25.0,5.5937
EUR,26.0,7.39055
EUR,30.0,7.55668
EUR,24.0,10.00426
EUR,25.0,6.43457
EUR,24.0,8.3742
EUR,27.0,3.1973700000000003
EUR,24.0,7.79179
EUR,25.0,4.97359
EUR,24.0,3.85753
EUR,26.0,9.219
EUR,26.0,5.84054
EUR,31.0,5.8006
EUR,21.0,4.21858
EUR,26.0,8.07428
EUR,24.0,5.79966
EUR,24.0,5.05215
EUR,30.0,4.37185
EUR,24.0,9.15105
EUR,26.0,6.7549600000000005
EUR,24.0,5.58517
EUR,27.0,4.11885
EUR,24.0,4.8560099999999995
EUR,24.0,9.505180000000001
EUR,28.0,4.30896
EUR,24.0,8.7595
EUR,24.0,9.21686
EUR,24.0,3.6182300000000005
EUR,24.0,7.11048
EUR,28.0,6.13296
EUR,25.0,6.8772199999999994
EUR,24.0,8.0817
EUR,26.0,6.7183
EUR,33.0,7.080010000000001
EUR,30.0,8.57667
EUR,24.0,2.8414200000000003
EUR,24.0,4.08005
EUR,24.0,11.91452
EUR,25.0,3.8822
EUR,24.0,4.29429
EUR,27.0,4.30609
EUR,37.0,7.128430000000001
EUR,24.0,4.081980000000001
EUR,28.0,8.31973
EUR,24.0,6.11964
EUR,26.0,8.25153
EUR,27.0,8.269630000000001
EUR,25.0,6.7538100000000005
EUR,24.0,10.61895
EUR,26.0,6.98125
EUR,24.0,4.30072
EUR,24.0,5.21485
EUR,24.0,6.55039
EUR,27.0,7.58524
EUR,24.0,6.1523900000000005
EUR,26.0,10.42918
EUR,24.0,7.9156
EUR,24.0,8.45635
EUR,24.0,9.03277
EUR,24.0,6.91375
EUR,36.0,6.589519999999999
EUR,24.0,4.25424
EUR,24.0,7.033919999999999
EUR,32.0,5.94784
EUR,26.0,6.50066
EUR,24.0,7.493860000000001
EUR,24.0,3.8286800000000003
EUR,25.0,8.73584
EUR,28.0,5.79049
EUR,25.0,8.95251
EUR,28.0,6.32675
EUR,30.0,8.32852
EUR,25.0,10.26885
EUR,26.0,8.6757
EUR,24.0,8.60592
EUR,27.0,6.3295699999999995
EUR,28.0,8.8965
EUR,24.0,6.22195
EUR,24.0,4.41012
EUR,26.0,4.48689
EUR,25.0,3.9973
EUR,27.0,7.60628
EUR,24.0,4.62288
EUR,25.0,9.35016
EUR,27.0,5.63098
EUR,25.0,5.00504
EUR,24.0,3.37987
EUR,28.0,6.697989999999999
EUR,24.0,6.94067
EUR,24.0,5.95506
EUR,24.0,7.8877
EUR,25.0,9.31685
EUR,24.0,6.49021
EUR,38.0,4.45748
EUR,26.0,5.40793
AFR,24.0,10.44444
AFR,23.0,13.070730000000001
AFR,21.0,6.42834
AFR,24.0,12.217310000000001
AFR,24.0,12.53561
AFR,24.0,9.86013
AFR,18.0,16.17925
AFR,23.0,12.0853
AFR,24.0,3.0556
AFR,25.0,13.07772
AFR,24.0,9.17297
AFR,23.0,5.97624
AFR,24.0,9.612039999999999
AFR,23.0,13.16753
AFR,24.0,5.9698400000000005
AFR,24.0,13.47874
AFR,26.0,13.840539999999999
AFR,22.0,15.982120000000002
AFR,21.0,9.7922
AFR,25.0,11.23901
AFR,24.0,10.30242
AFR,23.0,15.55075
AFR,21.0,11.09788
AFR,24.0,10.68329
AFR,26.0,10.31426
AFR,24.0,8.32957
AFR,24.0,7.88237
AFR,24.0,10.20642
AFR,25.0,11.29343
AFR,30.0,8.86411
AFR,24.0,9.38958
AFR,21.0,10.43012
AFR,26.0,8.88162
AFR,22.0,7.9141
AFR,23.0,13.30414
AFR,21.0,11.55948
AFR,21.0,8.1641
AFR,24.0,11.12026
AFR,25.0,11.87395
AFR,25.0,9.960939999999999
AFR,21.0,11.90728
AFR,23.0,7.580539999999999
AFR,24.0,13.716339999999999
AFR,24.0,6.82125
AFR,24.0,12.77443
AFR,21.0,10.23788
AFR,19.0,8.059989999999999
AFR,24.0,7.697139999999999
AFR,21.0,8.04125
AFR,24.0,7.91287
AFR,24.0,13.67415
AFR,25.0,5.406569999999999
AFR,26.0,8.367389999999999
AFR,21.0,10.39674
AFR,21.0,10.00073
AFR,21.0,8.72608
AFR,23.0,9.464310000000001
AFR,21.0,12.80972
AFR,21.0,9.05375
AFR,23.0,9.95325
AFR,21.0,10.681939999999999
AFR,21.0,10.94409
AFR,21.0,13.45563
AFR,22.0,13.392570000000001
AFR,25.0,11.260069999999999
AFR,21.0,13.342479999999998
AFR,23.0,5.18999
AFR,21.0,11.88999
AFR,25.0,10.81033
AFR,24.0,6.592630000000001
AFR,24.0,9.47067
AFR,24.0,9.66894
AFR,24.0,13.53325
AFR,23.0,11.21446
AFR,26.0,5.232559999999999
AFR,24.0,8.36048
AFR,24.0,10.502989999999999
AFR,21.0,9.98151
AFR,26.0,13.61522
AFR,24.0,12.468119999999999
AFR,24.0,6.351459999999999
AFR,21.0,10.6875
AFR,26.0,11.62278
AFR,23.0,7.653510000000001
AFR,24.0,10.16114
AFR,23.0,7.566789999999999
AFR,25.0,9.92907
AFR,24.0,7.28798
AFR,24.0,12.58226
